id,goal,strategy,algorithms,software-driven,energy_metrics,other_metrics,evaluation,component,dc_type
6,reduce_energy,VM_consolidation,,completely_consists_of,power_cons,resource,empirical,server,
7,reduce_energy,VM_consolidation,nature,completely_consists_of,energy_cons,"VM,time",simulated,"CPU,server,storage,memory,VM",cloud
10,optimize_renewable,resource_management,ML,completely_consists_of,"renewable,energy_cons","VM,cost",empirical,DC,"geo-distributed,renewable"
11,reduce_energy,VM_consolidation,,completely_consists_of,"energy_cons,power_cons",,empirical,"server,VM","geo-distributed,cloud"
13,monitor,"predict,model",,completely_consists_of,power_cons,,simulated,"network,memory,storage,server,CPU",cloud
16,reduce_energy,resource_management,,completely_consists_of,"EE,energy_cons,power_cons",network,empirical,server,heterogeneous
17,reduce_energy,"VM_placement,VM_consolidation","ML,fit",completely_consists_of,energy_cons,resource,simulated,server,cloud
21,reduce_energy,VM_consolidation,LP,completely_consists_of,energy_cons,"network,time",theoretical,"network,server",large
32,reduce_energy,"VM_selection,VM_consolidation",other,completely_consists_of,"energy_SLA,energy_cons","SLA,VM",simulated,"memory,network,server,CPU","heterogeneous,cloud"
33,optimize_renewable,resource_management,,completely_consists_of,"energy_cons,renewable",cost,simulated,DC,"geo-distributed,homogeneous,renewable"
34,reduce_energy,VM_consolidation,nature,completely_consists_of,power_cons,resource,simulated,server,"geo-distributed,cloud,large"
38,optimize_renewable,resource_management,,completely_consists_of,"energy_cons,renewable","algorithm,other",simulated,DC,renewable
40,increase_EE,network_optimization,nature,completely_consists_of,"energy_cons,EE",network,simulated,network,
44,reduce_energy,"VM_placement,VM_migration,VM_consolidation",,completely_consists_of,energy_cons,"time,VM",simulated,server,cloud
49,increase_EE,resource_management,ML,completely_consists_of,energy_cons,,empirical,server,homogeneous
51,monitor,"model,predict",other,depends_on,"supp_ICT,energy_cons",,empirical,DC,
53,reduce_energy,network_optimization,,completely_consists_of,energy_cons,network,simulated,network,other
54,increase_EE,VM_consolidation,ML,completely_consists_of,"energy_SLA,energy_cons","SLA,VM",simulated,server,
